unique_id,collision_id,person_type,person_age,person_sex,contributing_factor_1
10250796,4229809,Occupant,57.0,M,
10254324,4231043,Occupant,,U,
10254006,4230605,Occupant,61.0,M,
10254560,4228464,Occupant,56.0,M,
10255066,4230647,Occupant,,U,
10254035,4230632,Occupant,,M,
10253098,4211555,Occupant,38.0,M,
10253509,4230816,Occupant,40.0,M,
6618640,3577702,Occupant,,M,
10249389,4230228,Occupant,,U,
10249227,4230217,Occupant,29.0,F,
10248823,4229588,Occupant,45.0,M,
10252972,4230913,Occupant,40.0,M,
10253145,4230557,Occupant,,U,
10255485,4231169,Occupant,,U,
10249378,4230260,Occupant,56.0,F,
10252641,4230551,Occupant,32.0,M,
10252873,4231126,Occupant,62.0,M,
10251484,4230204,Occupant,42.0,M,
10252278,4229851,Occupant,33.0,F,
10248497,4229558,Occupant,23.0,M,
10249751,4229902,Occupant,,M,
10253403,4230536,Occupant,,U,
10249005,4229554,Occupant,79.0,F,
10248869,4229576,Occupant,47.0,M,
6687364,3565713,Occupant,,,
10253945,4230618,Occupant,59.0,M,
10254954,4230866,Occupant,11.0,F,
10252848,4231120,Occupant,59.0,M,
10253417,4230577,Occupant,41.0,M,
10251628,4230339,Occupant,38.0,F,
10248560,4229571,Occupant,73.0,M,
10255105,4230613,Occupant,43.0,M,
10251082,4230391,Occupant,38.0,F,
10252290,4229879,Occupant,,U,
10252312,4229853,Occupant,,F,
10253248,4231058,Occupant,34.0,F,
10254314,4231028,Occupant,34.0,F,
10248446,4229629,Occupant,55.0,M,
10251991,4229952,Occupant,57.0,M,
10251613,4230335,Occupant,,,
10252307,4229897,Occupant,25.0,F,
10254028,4230629,Occupant,59.0,M,
10249325,4229970,Occupant,3.0,M,
10253599,4230740,Occupant,15.0,F,
10250397,4230162,Occupant,23.0,M,
10253906,4222651,Occupant,,,
10250841,4230370,Occupant,,F,
10252874,4231126,Occupant,57.0,M,
10254029,4230629,Occupant,53.0,F,
10254993,4230593,Occupant,54.0,M,
10248289,4229642,Occupant,49.0,F,
10254541,4230682,Occupant,,,
10253219,4230987,Occupant,27.0,M,
10251746,4230493,Occupant,55.0,M,
10252956,4230839,Occupant,,,
10254494,4230699,Occupant,38.0,M,
10250124,4229875,Occupant,57.0,M,
10254914,4226936,Occupant,43.0,M,
10253409,4230619,Occupant,42.0,M,
10254362,4231035,Occupant,54.0,M,
10254477,4230694,Occupant,,,
10255226,4229583,Occupant,29.0,F,
10251962,4229942,Occupant,42.0,F,
10254500,4230704,Occupant,40.0,F,
10253434,4230861,Occupant,34.0,M,
10250398,4230162,Occupant,,U,
10255019,4230586,Occupant,51.0,F,
10248717,4229637,Occupant,7.0,F,
10255113,4230599,Occupant,64.0,M,
10253141,4230549,Occupant,60.0,M,
10251983,4229947,Occupant,39.0,M,
10250150,4230448,Occupant,34.0,F,
10255042,4230578,Occupant,55.0,M,
10249326,4229970,Occupant,,M,
10251351,4230044,Pedestrian,46.0,F,Unspecified
